Time_s,Current_A,Temperature_K,State_x
1.000000000000000021e-02,7.342415483435615897e-05,3.000000036712077645e+02,1.999362111091613770e-01
1.035231775930738757e-02,7.342245953623205423e-05,3.000000038004185967e+02,1.999339610338211060e-01
1.071704829896710960e-02,7.339968578889966011e-05,3.000000039341355205e+02,1.999316364526748657e-01
1.109462894327521883e-02,7.342121534748002887e-05,3.000000040725990971e+02,1.999292224645614624e-01
1.148551242423937954e-02,7.340103911701589823e-05,3.000000042158961833e+02,1.999267339706420898e-01
1.189016742441989863e-02,7.341514719882979989e-05,3.000000043642646119e+02,1.999241560697555542e-01
1.230907913889602370e-02,7.339431613218039274e-05,3.000000045178105097e+02,1.999214887619018555e-01
1.274274985703133418e-02,7.341333548538386822e-05,3.000000046768006428e+02,1.999187171459197998e-01
1.319169956473571596e-02,7.341153832385316491e-05,3.000000048413810987e+02,1.999158561229705811e-01
1.365646656794611107e-02,7.341231685131788254e-05,3.000000050117541832e+02,1.999128907918930054e-01
1.413760813807360579e-02,7.340910815401002765e-05,3.000000051881139029e+02,1.999098211526870728e-01
1.463570118019079727e-02,7.342881144722923636e-05,3.000000053707273651e+02,1.999066472053527832e-01
1.515134292476053024e-02,7.342131721088662744e-05,3.000000055597458868e+02,1.999033540487289429e-01
1.568515164373547946e-02,7.342727622017264366e-05,3.000000057554296973e+02,1.998999565839767456e-01
1.623776739188721729e-02,7.343779725488275290e-05,3.000000059580260654e+02,1.998964399099349976e-01
1.680985277425363703e-02,7.338544673984870315e-05,3.000000061675989400e+02,1.998927891254425049e-01
1.740209374062485007e-02,7.341826130868867040e-05,3.000000063846401872e+02,1.998890191316604614e-01
1.801520040802025505e-02,7.339389412663877010e-05,3.000000066092401880e+02,1.998851150274276733e-01
1.864990791214297255e-02,7.342071330640465021e-05,3.000000068418240744e+02,1.998810768127441406e-01
1.930697728883249559e-02,7.341672608163207769e-05,3.000000070825739158e+02,1.998768895864486694e-01
1.998719638657250539e-02,7.342464232351630926e-05,3.000000073318163913e+02,1.998725533485412598e-01
2.069138081114790112e-02,7.341539458138868213e-05,3.000000075897899592e+02,1.998680680990219116e-01
2.142037490358384214e-02,7.340476440731436014e-05,3.000000078567948663e+02,1.998634189367294312e-01
2.217505275253931624e-02,7.340352021856233478e-05,3.000000081331820070e+02,1.998586058616638184e-01
2.295631924236909635e-02,7.344706682488322258e-05,3.000000084194552414e+02,1.998536288738250732e-01
2.376511113811075396e-02,7.342371827689930797e-05,3.000000087156968220e+02,1.998484730720520020e-01
2.460239820869776495e-02,7.338997238548472524e-05,3.000000090222094400e+02,1.998431384563446045e-01
2.546918438974540150e-02,7.339823059737682343e-05,3.000000093395302656e+02,1.998376101255416870e-01
2.636650898730358294e-02,7.340181036852300167e-05,3.000000096680184356e+02,1.998318880796432495e-01
2.729544792402007272e-02,7.340151933021843433e-05,3.000000100080479797e+02,1.998259723186492920e-01
2.825711502920828441e-02,7.341576565522700548e-05,3.000000103600931993e+02,1.998198479413986206e-01
2.925266337436644576e-02,7.342200842685997486e-05,3.000000107245376171e+02,1.998135000467300415e-01
3.028328665574945774e-02,7.340476440731436014e-05,3.000000111016956339e+02,1.998069286346435547e-01
3.135022062565115397e-02,7.341137825278565288e-05,3.000000114921366503e+02,1.998001337051391602e-01
3.245474457411330615e-02,7.341448508668690920e-05,3.000000118963076261e+02,1.997931003570556641e-01
3.359818286283781236e-02,7.340477895922958851e-05,3.000000123146165265e+02,1.997858136892318726e-01
3.478190651314130161e-02,7.340603042393922806e-05,3.000000127476210992e+02,1.997782737016677856e-01
3.600733484985620125e-02,7.341931632254272699e-05,3.000000131959095029e+02,1.997704654932022095e-01
3.727593720314940212e-02,7.340200681937858462e-05,3.000000136598252425e+02,1.997623890638351440e-01
3.858923467029903159e-02,7.342320168390870094e-05,3.000000141401638416e+02,1.997540295124053955e-01
3.994880193954170045e-02,7.340344018302857876e-05,3.000000146372259451e+02,1.997453719377517700e-01
4.135626917817709913e-02,7.340556476265192032e-05,3.000000151517454583e+02,1.997364163398742676e-01
4.281332398719393806e-02,7.342181925196200609e-05,3.000000156844358230e+02,1.997271478176116943e-01
4.432171342476085713e-02,7.344217738136649132e-05,3.000000162359669957e+02,1.997175514698028564e-01
4.588324610100844719e-02,7.338279829127714038e-05,3.000000168063799038e+02,1.997076123952865601e-01
4.749979434661412425e-02,7.341340824496001005e-05,3.000000173970446440e+02,1.996973305940628052e-01
4.917329645779018599e-02,7.341274613281711936e-05,3.000000180084151680e+02,1.996866762638092041e-01
5.090575902036681422e-02,7.341065065702423453e-05,3.000000186412012795e+02,1.996756494045257568e-01
5.269925931575656503e-02,7.339932199101895094e-05,3.000000192960665117e+02,1.996642351150512695e-01
5.455594781168519869e-02,7.340750016737729311e-05,3.000000199739581603e+02,1.996524184942245483e-01
5.647805074067554360e-02,7.341578748309984803e-05,3.000000206756824355e+02,1.996401995420455933e-01
5.846787276937589345e-02,7.340252341236919165e-05,3.000000214018581346e+02,1.996275484561920166e-01
6.052779976193348871e-02,7.341467426158487797e-05,3.000000221535938749e+02,1.996144503355026245e-01
6.266030164072655673e-02,7.343666948145255446e-05,3.000000229318887932e+02,1.996008902788162231e-01
6.486793534788511117e-02,7.341879245359450579e-05,3.000000237372352672e+02,1.995868533849716187e-01
6.715334791115142032e-02,7.342442404478788376e-05,3.000000245708358193e+02,1.995723247528076172e-01
6.951927961775605791e-02,7.341070886468514800e-05,3.000000254334461260e+02,1.995572894811630249e-01
7.196856730011520764e-02,7.341512537095695734e-05,3.000000263262905378e+02,1.995417177677154541e-01
7.450414773728912532e-02,7.341280434047803283e-05,3.000000272503356200e+02,1.995256096124649048e-01
7.712906117627991998e-02,7.340003503486514091e-05,3.000000282065263377e+02,1.995089352130889893e-01
7.984645497739085995e-02,7.341604214161634445e-05,3.000000291963630161e+02,1.994916796684265137e-01
8.265958738801812422e-02,7.341529271798208356e-05,3.000000302207843674e+02,1.994738131761550903e-01
8.557183144940005981e-02,7.342305616475641727e-05,3.000000312811126264e+02,1.994553208351135254e-01
8.858667904100822610e-02,7.342040044022724032e-05,3.000000323784384477e+02,1.994361728429794312e-01
9.170774506742930543e-02,7.341727177845314145e-05,3.000000335140337029e+02,1.994163542985916138e-01
9.493877179275829470e-02,7.343081961153075099e-05,3.000000346894899508e+02,1.993958503007888794e-01
9.828363332770025107e-02,7.339651347137987614e-05,3.000000359053926786e+02,1.993746310472488403e-01
1.017463402747606355e-01,7.341726450249552727e-05,3.000000371640720687e+02,1.993526667356491089e-01
1.053310445370937015e-01,7.343503239098936319e-05,3.000000384669642131e+02,1.993299275636672974e-01
1.090420442967752618e-01,7.341994933085516095e-05,3.000000398149961711e+02,1.993063986301422119e-01
1.128837891684688899e-01,7.341273885685950518e-05,3.000000412098653442e+02,1.992820352315902710e-01
1.168608855346650877e-01,7.342293974943459034e-05,3.000000426535262932e+02,1.992568224668502808e-01
1.209781020688901337e-01,7.342777098529040813e-05,3.000000441475550588e+02,1.992307305335998535e-01
1.252403754535073022e-01,7.344066398218274117e-05,3.000000456938590787e+02,1.992037296295166016e-01
1.296528162989668276e-01,7.341626042034476995e-05,3.000000472934214599e+02,1.991757750511169434e-01
1.342207152716012042e-01,7.341508899116888642e-05,3.000000489485818775e+02,1.991468518972396851e-01
1.389495494373137463e-01,7.340777665376663208e-05,3.000000506611009428e+02,1.991169154644012451e-01
1.438449888287662848e-01,7.341783202718943357e-05,3.000000524333628391e+02,1.990859210491180420e-01
1.489129032439409361e-01,7.341791933868080378e-05,3.000000542671687072e+02,1.990538537502288818e-01
1.541593692842271879e-01,7.342844764934852719e-05,3.000000561648969324e+02,1.990206688642501831e-01
1.595906776404731053e-01,7.343363540712743998e-05,3.000000581285956400e+02,1.989863216876983643e-01
1.652133406357370049e-01,7.342382741626352072e-05,3.000000601600990535e+02,1.989507675170898438e-01
1.710341000337840534e-01,7.341543096117675304e-05,3.000000622617491217e+02,1.989139765501022339e-01
1.770599351226898044e-01,7.343228207901120186e-05,3.000000644366853066e+02,1.988759040832519531e-01
1.832980710832435578e-01,7.344133337028324604e-05,3.000000666871739554e+02,1.988365054130554199e-01
1.897559876521850430e-01,7.344646292040124536e-05,3.000000690156635983e+02,1.987957358360290527e-01
1.964414280906627563e-01,7.342230674112215638e-05,3.000000714238258865e+02,1.987535357475280762e-01
2.033624084686672384e-01,7.342372555285692215e-05,3.000000739152144433e+02,1.987098604440689087e-01
2.105272272765706942e-01,7.343239849433302879e-05,3.000000764929046682e+02,1.986646652221679688e-01
2.179444753752985686e-01,7.339908916037529707e-05,3.000000791582642705e+02,1.986179053783416748e-01
2.256230462970633954e-01,7.342276512645184994e-05,3.000000819163915935e+02,1.985695213079452515e-01
2.335721469090121238e-01,7.342176104430109262e-05,3.000000847694602726e+02,1.985194534063339233e-01
2.418013084525720557e-01,7.343271136051043868e-05,3.000000877211503507e+02,1.984676420688629150e-01
2.503203979717325556e-01,7.343998731812462211e-05,3.000000907746290295e+02,1.984140276908874512e-01
2.591396301439658489e-01,7.344195182668045163e-05,3.000000939330809047e+02,1.983585506677627563e-01
2.682695795279724793e-01,7.341449236264452338e-05,3.000000971986734726e+02,1.983011513948440552e-01
2.777211932429354824e-01,7.343335164478048682e-05,3.000001005771234190e+02,1.982417553663253784e-01
2.875058040944880045e-01,7.341906893998384476e-05,3.000001040705977289e+02,1.981803029775619507e-01
2.976351441631317485e-01,7.344189361901953816e-05,3.000001076847706827e+02,1.981167197227478027e-01
3.081213588714002416e-01,7.344462210312485695e-05,3.000001114226304821e+02,1.980509310960769653e-01
3.189770215466321557e-01,7.343110337387770414e-05,3.000001152873902583e+02,1.979828625917434692e-01
3.302151484968175454e-01,7.343929610215127468e-05,3.000001192844295019e+02,1.979124397039413452e-01
3.418492146175928781e-01,7.345531048486009240e-05,3.000001234185729118e+02,1.978395879268646240e-01
3.538931695490987739e-01,7.342282333411276340e-05,3.000001276914339883e+02,1.977642178535461426e-01
3.663614544020716290e-01,7.344980986090376973e-05,3.000001321111904531e+02,1.976862400770187378e-01
3.792690190732249667e-01,7.344564073719084263e-05,3.000001366806888541e+02,1.976055800914764404e-01
3.926313401706837403e-01,7.341903983615338802e-05,3.000001414032956291e+02,1.975221335887908936e-01
4.064644395709627878e-01,7.345025369431823492e-05,3.000001462879143332e+02,1.974358111619949341e-01
4.207849036297402479e-01,7.345564517891034484e-05,3.000001513380178721e+02,1.973465085029602051e-01
4.356099030694607910e-01,7.343646575463935733e-05,3.000001565571370747e+02,1.972541362047195435e-01
4.509572135676147009e-01,7.341893069678917527e-05,3.000001619507796136e+02,1.971585899591445923e-01
4.668452370703789489e-01,7.343878678511828184e-05,3.000001675274576769e+02,1.970597654581069946e-01
4.832930238571752080e-01,7.343489414779469371e-05,3.000001732911194949e+02,1.969575583934783936e-01
5.003202953826004773e-01,7.343433389905840158e-05,3.000001792479837377e+02,1.968518346548080444e-01
5.179474679231209633e-01,7.343874312937259674e-05,3.000001854046071799e+02,1.967425048351287842e-01
5.361956770568816477e-01,7.343676406890153885e-05,3.000001917667241287e+02,1.966294348239898682e-01
5.550868030059805669e-01,7.346428174059838057e-05,3.000001983435702186e+02,1.965124905109405518e-01
5.746434968715973257e-01,7.343408651649951935e-05,3.000002051363155147e+02,1.963915526866912842e-01
5.948892077934334610e-01,7.343124161707237363e-05,3.000002121543408862e+02,1.962665021419525146e-01
6.158482110660260522e-01,7.343603647314012051e-05,3.000002194054171696e+02,1.961371898651123047e-01
6.375456372456506093e-01,7.344855839619413018e-05,3.000002268975872539e+02,1.960034817457199097e-01
6.600075022827095461e-01,7.345528138102963567e-05,3.000002346376460309e+02,1.958652287721633911e-01
6.832607387157402234e-01,7.344820915022864938e-05,3.000002426315804200e+02,1.957222819328308105e-01
7.073332279644438669e-01,7.344091136474162340e-05,3.000002508870335305e+02,1.955744922161102295e-01
7.322538337604533876e-01,7.345365156652405858e-05,3.000002594143552983e+02,1.954217106103897095e-01
7.580524367559261512e-01,7.345523044932633638e-05,3.000002682203141262e+02,1.952637583017349243e-01
7.847599703514610558e-01,7.344126061070710421e-05,3.000002773111385181e+02,1.951004862785339355e-01
8.124084577862965562e-01,7.343127072090283036e-05,3.000002866957329957e+02,1.949317157268524170e-01
8.410310505352605048e-01,7.346231723204255104e-05,3.000002963885453937e+02,1.947572678327560425e-01
8.706620680585126504e-01,7.345947960857301950e-05,3.000003063937116394e+02,1.945769637823104858e-01
9.013370389517434411e-01,7.345562335103750229e-05,3.000003167200953840e+02,1.943906098604202271e-01
9.330927435461663366e-01,7.345313497353345156e-05,3.000003273771087038e+02,1.941980272531509399e-01
9.659672580093832117e-01,7.347721839323639870e-05,3.000003383785117421e+02,1.939990222454071045e-01
1.000000000000000000e+00,7.347590872086584568e-05,3.000003497298500861e+02,1.937933713197708130e-01
1.035231775930737674e+00,7.347676728386431932e-05,3.000003614412747197e+02,1.935808956623077393e-01
1.071704829896710454e+00,7.346260827034711838e-05,3.000003735200164101e+02,1.933613568544387817e-01
1.109462894327521765e+00,7.347329665208235383e-05,3.000003859807244453e+02,1.931345611810684204e-01
1.148551242423938135e+00,7.345093035837635398e-05,3.000003988273672348e+02,1.929002702236175537e-01
1.189016742441989960e+00,7.347211067099124193e-05,3.000004120789208173e+02,1.926582604646682739e-01
1.230907913889601746e+00,7.349175575654953718e-05,3.000004257459526684e+02,1.924082934856414795e-01
1.274274985703133467e+00,7.347860082518309355e-05,3.000004398323759460e+02,1.921501159667968750e-01
1.319169956473571714e+00,7.347479549935087562e-05,3.000004543509937776e+02,1.918835043907165527e-01
1.365646656794609726e+00,7.347358041442930698e-05,3.000004693133681712e+02,1.916081905364990234e-01
1.413760813807359851e+00,7.347932842094451189e-05,3.000004847322861679e+02,1.913239210844039917e-01
1.463570118019079880e+00,7.347502832999452949e-05,3.000005006165685586e+02,1.910304278135299683e-01
1.515134292476052913e+00,7.348095823545008898e-05,3.000005169801053171e+02,1.907274425029754639e-01
1.568515164373547766e+00,7.351218664553016424e-05,3.000005338411435218e+02,1.904146969318389893e-01
1.623776739188721008e+00,7.348654617089778185e-05,3.000005511959646469e+02,1.900919079780578613e-01
1.680985277425363744e+00,7.348954386543482542e-05,3.000005690638000146e+02,1.897587776184082031e-01
1.740209374062484882e+00,7.349233783315867186e-05,3.000005874561576320e+02,1.894150227308273315e-01
1.801520040802023770e+00,7.350943633355200291e-05,3.000006063889875350e+02,1.890603452920913696e-01
1.864990791214296229e+00,7.350320811383426189e-05,3.000006258667100383e+02,1.886944323778152466e-01
1.930697728883249642e+00,7.350669329753145576e-05,3.000006459038301045e+02,1.883169859647750854e-01
1.998719638657250552e+00,7.351209933403879404e-05,3.000006665124358278e+02,1.879276782274246216e-01
2.069138081114790140e+00,7.349334919126704335e-05,3.000006876953949586e+02,1.875261962413787842e-01
2.142037490358382978e+00,7.351094973273575306e-05,3.000007094766601767e+02,1.871122121810913086e-01
2.217505275253931707e+00,7.351987005677074194e-05,3.000007318643056919e+02,1.866853982210159302e-01
2.295631924236909427e+00,7.352030661422759295e-05,3.000007548659710324e+02,1.862454116344451904e-01
2.376511113811072828e+00,7.351025124080479145e-05,3.000007784879239807e+02,1.857919245958328247e-01
2.460239820869774885e+00,7.351506792474538088e-05,3.000008027463532017e+02,1.853245943784713745e-01
2.546918438974540067e+00,7.351845852099359035e-05,3.000008276506507059e+02,1.848430782556533813e-01
2.636650898730358072e+00,7.352526881732046604e-05,3.000008532119539382e+02,1.843470335006713867e-01
2.729544792402007314e+00,7.351368549279868603e-05,3.000008794309982818e+02,1.838361024856567383e-01
2.825711502920826845e+00,7.353340333793312311e-05,3.000009063311272257e+02,1.833099275827407837e-01
2.925266337436644548e+00,7.352861575782299042e-05,3.000009339088085767e+02,1.827681511640548706e-01
3.028328665574945511e+00,7.353190449066460133e-05,3.000009621755733065e+02,1.822104305028915405e-01
3.135022062565112400e+00,7.355088018812239170e-05,3.000009911467615780e+02,1.816364079713821411e-01
3.245474457411329006e+00,7.353452383540570736e-05,3.000010208096295514e+02,1.810457259416580200e-01
3.359818286283780875e+00,7.354689296334981918e-05,3.000010511854680999e+02,1.804380267858505249e-01
3.478190651314130299e+00,7.354735862463712692e-05,3.000010822722110220e+02,1.798129677772521973e-01
3.600733484985620070e+00,7.355000707320868969e-05,3.000011140748720777e+02,1.791701912879943848e-01
3.727593720314938075e+00,7.354012632276862860e-05,3.000011465882806760e+02,1.785093396902084351e-01
3.858923467029903076e+00,7.354017725447192788e-05,3.000011798202301065e+02,1.778301000595092773e-01
3.994880193954170267e+00,7.354998524533584714e-05,3.000012137778567194e+02,1.771321147680282593e-01
4.135626917817705639e+00,7.353119144681841135e-05,3.000012484407025113e+02,1.764150559902191162e-01
4.281332398719391641e+00,7.354761328315362334e-05,3.000012838316890225e+02,1.756786108016967773e-01
4.432171342476085130e+00,7.354491390287876129e-05,3.000013199336930825e+02,1.749224811792373657e-01
4.588324610100844581e+00,7.356752757914364338e-05,3.000013567615462762e+02,1.741463392972946167e-01
4.749979434661412370e+00,7.354060653597116470e-05,3.000013942698105325e+02,1.733499169349670410e-01
4.917329645779015657e+00,7.357310823863372207e-05,3.000014324990518162e+02,1.725329309701919556e-01
5.090575902036681200e+00,7.353868568316102028e-05,3.000014713830519781e+02,1.716951131820678711e-01
5.269925931575656364e+00,7.357160939136520028e-05,3.000015109691441921e+02,1.708362400531768799e-01
5.455594781168514373e+00,7.355712295975536108e-05,3.000015512014859382e+02,1.699560731649398804e-01
5.647805074067552056e+00,7.355447451118379831e-05,3.000015920754321996e+02,1.690544188022613525e-01
5.846787276937589262e+00,7.355616980930790305e-05,3.000016335778080361e+02,1.681310832500457764e-01
6.052779976193349398e+00,7.354332046816125512e-05,3.000016756742332973e+02,1.671859174966812134e-01
6.266030164072655673e+00,7.354482659138739109e-05,3.000017183576892421e+02,1.662188023328781128e-01
6.486793534788508175e+00,7.355002890108153224e-05,3.000017616084071506e+02,1.652296185493469238e-01
6.715334791115141755e+00,7.354756962740793824e-05,3.000018053916571148e+02,1.642183065414428711e-01
6.951927961775605347e+00,7.355186244240030646e-05,3.000018496866651958e+02,1.631848365068435669e-01
7.196856730011513825e+00,7.354735862463712692e-05,3.000018944518373019e+02,1.621291935443878174e-01
7.450414773728909701e+00,7.352715329034253955e-05,3.000019396334928388e+02,1.610514223575592041e-01
7.712906117627992053e+00,7.354901754297316074e-05,3.000019852496948829e+02,1.599516123533248901e-01
7.984645497739086828e+00,7.353321416303515434e-05,3.000020312119929145e+02,1.588298678398132324e-01
8.265958738801812089e+00,7.352806278504431248e-05,3.000020774933982466e+02,1.576863676309585571e-01
8.557183144940001540e+00,7.353570254053920507e-05,3.000021240686766646e+02,1.565213352441787720e-01
8.858667904100823165e+00,7.353023102041333914e-05,3.000021708724632958e+02,1.553350239992141724e-01
9.170774506742930043e+00,7.352223474299535155e-05,3.000022178519748763e+02,1.541277766227722168e-01
9.493877179275820311e+00,7.351845124503597617e-05,3.000022649626252473e+02,1.528999507427215576e-01
